	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Collinsella	10930.9075231842	28754.7006907496	2590.40784049897	45541.290808787	5788.43643925113	1108.36915321213	137154.554716143	240.177495531552	1712.5316926031	6385.20096275113	78320.247143095	1605.8662190009	102742.190107753	1085.31269239226	1285.61703215112	2095.499677355	9801.61419432006	46251.8857131834	1032.91287550561	41513.6838325495
Coprobacillus catenaformis et rel.	1897.318577512	1116.47862672581	24477.518715201	1530.08207812455	3193.45453907918	69168.0808240577	27739.8616397822	2889.30268305517	1527.16468693067	10166.1751317849	1917.02626502096	14917.5548210796	8421.9647040522	735.621415639691	4255.60774532228	1377.3950677275	2144.48288462528	7049.11442869399	4164.48227285463	3009.93151919795
Coprococcus eutactus et rel.	292205.111232616	29215.8732263817	136061.96941135	138837.550027674	76610.92192298	97944.5132735284	155088.673847306	48883.9069542938	1	92009.634077601	55403.1118867575	52662.7783149898	25034.759328174	1	56357.1544132828	4714.42425807769	83720.0702967032	27355.9139505574	1	263898.841484646
Corynebacterium	328.566009033726	381.06117541955	502.4429450458	379.366032428064	379.769340444172	356.531791683519	436.446881659604	320.042339653368	385.043839528826	344.739815244373	374.611726548129	295.86323028994	307.494492662476	337.291372382987	372.732460137733	767.57019753762	613.460048887504	315.987163151446	307.609087382879	432.565336898128
Desulfovibrio et rel.	938.33372182489	1288.39164494933	1102.99639649076	797.211185229449	836.785900848176	762.6274482763	671.050935691067	617.534283287499	845.716760631859	746.569769344436	789.397866551251	621.644999713101	647.01412170603	666.860671625197	800.534984450381	1191.2823749468	1417.32590121047	741.435880056897	663.25497445819	831.631622019771
Dialister	43400.632253846	2289.20106399178	2182.65854023991	484.097882738926	8367.61336743979	478.413910525507	656.079556165859	454.654113249963	38951.3352597184	6036.96207583915	6546.58141193704	433.268083041272	408.920218624692	590.471504908698	503.38217450326	557.030635180516	1066.84907461911	2087.22301511398	420.755594128984	1649.77611767264
Dorea formicigenerans et rel.	75639.3883882703	61954.5665519666	394104.269252562	312343.518272019	164152.093452866	123131.026764395	392737.87824817	36286.2247877329	70954.3026366634	262317.227581763	162681.749341528	154376.359835911	46829.8124854782	15050.5856136926	107470.72020625	3993.07007783149	160724.587440022	94788.0212508665	14351.7742051091	160471.784731958
Eggerthella lenta et rel.	1986.96012034654	358.910063151423	2325.4145818713	4314.17151401389	1959.92082296362	5904.82967438582	1	16725.0583966588	1547.85111612744	946.43651884117	1	1549.37470979338	3533.09836119476	718.10579471884	3519.12455187222	1477.02868191606	4360.79977864726	1	1260.84257357756	939.477250628329
Enterobacter aerogenes et rel.	643.55315288739	138.077106360064	560.646856319649	225.217746999208	355.880837733835	705.510849446951	1678.08710120889	1583.65038437196	401.110380570433	1545.00392175515	445.729485881659	749.664635803363	520.056195552298	1	497.834827298247	1	457.758876117507	320.222966262296	273.861981630547	1819.77267016699
Enterococcus	738.356085455742	715.52625093894	1427.98691098739	905.934731678374	1	2194.45169831453	791.059249882572	5098.47330366588	928.592349088273	749.983206794615	806.349114192435	696.065733202463	946.651228133723	31193.8061751058	9223.52358707116	2579.41317203793	1933.22770605495	819.685475906011	742.85237440196	854.946013464741
Escherichia coli et rel.	1	969.503955623356	268.051885375385	1	1	2973.94202758245	1	1	646.587801980331	226.190581863746	1044.75874601777	784.155074054779	1	34130.2473949157	1	22429.6959429825	1000.72926752887	440.708189587592	692.746119686125	1
Eubacterium biforme et rel.	868.285962863292	2391.25660563151	1061.96541050517	1	1	1	1	1	2478.67194442439	363.853541510478	41312.9335703954	29633.6682841113	1	411.564628253734	1	928.173959604854	1279.22749265709	1	1	1631.93812531613
Eubacterium cylindroides et rel.	694.846075702335	665.236963791238	6146.49725262675	1302.97135681438	860.898872635155	4732.20346374476	1481.4582199044	1407.13868648056	830.433976458221	3308.01192532902	903.145877055557	1019.68347561459	681.508317098928	643.416691207545	856.522828025718	861.145165120183	1291.92853998027	703.063222186097	2748.09782303367	765.44087408024
Eubacterium hallii et rel.	27799.7117375285	10154.0310681599	195230.838953667	18210.8552896221	176668.035014443	6342.24677864271	153528.067050484	290990.435497168	13056.1924486325	114329.439938374	92728.8448905869	45160.3799790145	322770.387815374	1	490.60516106078	393.761503307932	47576.8261222448	103011.102560129	1597.68382012744	81746.9836688774
Eubacterium limosum et rel.	1354.26390499912	840.090153322429	1435.58598467383	1802.93179271008	930.770220153678	869.567669056665	1058.16855439598	784.266221712419	952.42087716774	1067.01568544754	923.29209231075	982.006302517608	1136.94527382324	700.710745560223	792.410222361195	784.398891862706	1805.65554931037	771.238438443648	725.499594630004	1657.35236794923
Eubacterium rectale et rel.	225592.678607981	1166.46312654385	137457.745831832	1	1	1	65918.9285836809	62375.6429172879	211241.933275953	175467.444193424	70755.426234434	177125.063592706	24169.5429891694	1	1	1	86988.7270766591	209171.440490221	152075.407044093	176743.113518876
Eubacterium siraeum et rel.	20258.9970659803	102950.082629295	44048.0881392818	4746.13044555591	48819.2802118182	9257.36457165062	22511.181518594	1	1	9877.0501659832	41008.7190291037	22792.9668911161	1	1	1	1664.99282176464	12597.9228850158	1	1	29536.325442932
Eubacterium ventriosum et rel.	126549.956600081	11262.1590755783	158015.495834505	10750.3058461422	40103.3497753262	11811.0565209285	100090.550389605	99432.6466344289	106265.735592839	108384.772691308	41027.8590101902	89211.2958322498	74104.1387531698	847.283909594989	6391.01623661323	756.334837537928	29082.6503705094	95060.9591695374	16397.2919794844	120943.472980078
Faecalibacterium prausnitzii et rel.	685425.20744954	48080.3648408383	454273.384417403	355810.505776726	538087.76066582	3570.00277428222	355238.664930482	1	582838.11868518	725156.181916265	462634.871916951	493639.288665031	99405.6171549371	1991.24543774959	1	4020.45480622728	780726.722942192	38663.1987607392	52321.7615852211	763509.299847815
Fusobacteria	685.525758505677	675.522195867586	1054.1376117783	812.110428413654	828.476295377441	805.811878052068	663.79125881908	654.562406762157	844.259310701534	758.735935097574	1001.52534727919	654.602542349893	674.084000417311	644.330976686234	819.497374810843	1050.54479245811	1293.64497107567	696.224888443468	693.507022716254	763.021198206109
Gemella	304.401013240092	298.714572203385	473.600942407631	399.567195884613	472.88823421079	381.282154559927	324.899466342491	368.678136181495	384.248172203712	492.69477463777	388.294811235522	321.950943374917	319.508109466166	534.277248767904	415.33278278914	679.666916598874	583.304837242612	339.446377321472	331.231067500366	340.032739985355
