	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Atopobium	363.688984829974	507.810733665421	671.971771115063	733.918182227607	409.781328986829	359.97379769641	1516.34193823443	295.634338804423	391.624359342672	325.358058434686	557.05639223996	288.860094283464	2857.74073551876	397.443107424648	375.471115969121	458.552174443905	752.288799452213	382.077503313132	310.67040043354	612.256426844558
Bacillus	613.900322199039	433.737883358195	788.107555445824	780.058654678077	600.181721886479	532.972459022646	561.621754000205	513.182182882516	545.573751317509	613.339341229529	580.688095725157	522.022348341568	574.797869524134	571.654707599699	761.53871237072	2286.16569529553	865.901118994038	442.465179342435	416.893528538736	845.068761135363
Bacteroides fragilis et rel.	12648.3602683604	52367.5973805208	19358.5035651043	32945.5510868392	28996.4646964464	1303.03212904198	3124.56860916121	1719.90318412106	98390.7614861357	48593.2642734524	9992.80256296358	125931.929342227	1082.87453029788	1732.82445403175	1382.27522545066	2292.04185783661	3563.42735658954	1252.20244151726	96705.0871623995	11441.4824046657
Bacteroides intestinalis et rel.	11674.4876689947	13247.6264815618	16939.6562247707	5138.62070816676	4403.42311763926	369.705147777746	2983.58285187897	375.925650237363	74419.5967183826	61220.8161615886	6404.49742792079	73345.2294860514	340.541326249448	638.832287420453	439.876416663998	637.687318831335	1897.07867301207	432.40742608272	39161.9699376701	18456.7278417166
Bacteroides ovatus et rel.	23850.7428594859	16145.6010618195	48751.3876034482	17610.7677106845	3624.26252586877	1387.68950997373	4448.86330244851	1787.10045320738	134441.587560116	76809.0772672186	17542.6916608741	201423.536783988	1122.41989992798	2498.59800485943	1377.79119942967	2311.31031890175	8515.34992861605	1326.44879487143	274613.994040032	15716.4584181835
Bacteroides plebeius et rel.	29682.2377264629	12744.7278366041	116773.377132405	6040.20540725134	7904.42319375711	818.544097604315	4089.11265209659	720.465077333836	94728.2039805305	97870.0836857677	45083.9010190963	146265.572434083	740.977779706341	1337.25246268564	914.175292372201	1783.04666721289	11418.401651105	957.790500972888	135430.516181954	25621.6165037605
Bacteroides splachnicus et rel.	20726.3222747894	54007.0834900678	133796.18845462	8116.36998352854	6438.62421432757	2321.99427376038	4623.73227172181	3756.09163531339	194974.052527809	78675.5576589986	18908.2251598193	152023.534746441	1778.96204017597	7446.22064978931	2346.04010542785	3361.63125760049	8686.15023284335	2323.20900449942	92085.2929063566	35009.1325202444
Bacteroides stercoris et rel.	55831.8420473481	11228.5526651359	103712.282507206	4440.11875435583	21427.2568013377	850.591404234097	4267.23478282924	1962.26863900206	282610.371596078	48921.5513564101	121185.029017472	95287.6342205547	729.595989356747	1113.22223324618	887.478016485394	993.725606824229	8097.18365063326	996.88369583835	16468.5494099359	33064.1205007304
Bacteroides uniformis et rel.	28303.8153386612	24285.4030552668	112348.124036262	13624.6854076763	28995.3025237724	311.533427685929	3390.02031695231	427.341625733928	87096.8519074635	116461.418920853	36865.0403182422	173618.560027286	296.611353967104	616.161591001294	349.140937705592	556.976770942309	8088.9395073063	418.315017190775	81081.6410447221	15100.8540122483
Bacteroides vulgatus et rel.	31235.8823319611	6916.88762098097	46393.468131522	21140.1731718835	32520.7696608327	516.665252235741	4278.27879928236	578.234927940397	132416.051431569	147652.039088081	13687.1094062257	229103.099910009	576.016802276465	3709.51626425626	824.326793395351	1451.69520397539	9281.07583733865	728.837598318336	122058.905901426	68336.6514064628
Bifidobacterium	121680.664941431	236919.198998157	94717.1189462948	2585.45183568602	15720.6490008835	172927.607061462	536048.30390008	579090.592734846	3040.51047400377	76378.4405530539	25105.1239287283	147591.109838646	134452.736459985	611305.023447169	291752.911927342	52817.3770431163	44025.2095664626	109503.968755901	106420.960359981	357937.257730496
Bilophila et rel.	413.624037521674	429.622736536604	796.605593573625	483.181401500291	471.837547528538	448.062495273194	381.555110655772	364.134495366413	473.07339485355	428.432258005816	470.587146396782	599.070123984033	378.023147013731	386.656388146557	477.348416476461	1223.11213849579	711.488522168161	429.390129950902	423.34005737058	566.476369863083
Brachyspira	331.405619093438	370.448988242104	507.336800891353	387.583515983392	412.33809619515	398.043181887562	322.632552845912	317.836805022989	424.884965753504	360.154878083489	418.32818453592	318.516166930457	335.069348573261	333.689084049463	395.151599111825	416.893573695413	678.859445353747	365.748651156362	342.687751604517	360.253712348449
Bryantella formatexigens et rel.	63508.7277418106	19565.4093747564	102132.524519269	127142.206206926	52560.6683472283	59563.1264652209	129870.613613685	30259.1910959461	43044.7133351314	168691.998004212	54596.4202868818	125865.916581566	16880.8748677725	7463.33128223137	27278.4733948249	6799.83978116329	62612.0777476017	84722.3589469239	11594.4185057051	188977.750831806
Bulleidia moorei et rel.	789.189440868975	852.742207279731	1460.71955823082	1161.69785349143	1038.89737723584	890.977583150959	1094.77800759348	867.947246575698	972.983594854755	957.413760088057	2920.08068151279	2740.71015515478	702.632088953291	2111.8690566083	1028.60825222209	969.14764400068	1418.06638715231	790.207790809051	1577.38616797168	1562.2891184207
Burkholderia	1668.50239328374	945.63109257751	240.356081925139	166.190425261124	164.081477570334	180.641289574068	132.711746448639	186.858567703835	571.078272738367	315.465918886836	176.492256957568	209.705118928903	124.136706509437	743.587325928183	155.10155163357	167.7192217099	227.065637741509	166.488136163987	140.092969173727	300.057523550474
Butyrivibrio crossotus et rel.	82068.1037331833	21134.2000992308	67880.6829974908	18264.8787793902	54202.2254156022	7066.68649006547	70072.1221630175	24404.5404504027	56340.9043879187	65417.3216933087	18492.8204804905	168096.419758222	4730.85515452619	9160.75956431618	16352.1828248982	5773.44985861267	69136.1489492523	45307.382817357	5273.15165091176	87854.0398039996
Campylobacter	791.808900552446	755.151614673579	1140.88046511721	931.958128831968	952.759771186893	889.518544101547	753.968539718361	733.902520501382	985.028055520662	859.194545347971	935.251619991624	737.698324537537	757.861717226604	795.655100275565	887.441275504512	1340.52176657998	1464.29245932795	794.625471520557	789.912305744562	821.808851734901
Catenibacterium mitsuokai et rel.	212.591214973434	201.266358675776	596.914541158682	245.423014270005	251.936746242094	1498.03938947174	1016.38487191194	207.145423628691	254.971109599219	385.021397917798	3794.83939946043	534.313274379353	317.356181894397	181.645048902973	218.253859376725	517.830456263558	367.085660057867	291.781287747078	186.547355004214	291.23165937977
Clostridia	5300.7495447466	55970.0835242291	9102.38373266779	4544.28644775399	4433.70987422146	6318.78281273448	6404.37343493763	127589.924339347	4406.48911255011	5831.02525955312	8518.8620800753	3276.21278480036	4624.40631307312	5525.20216420725	60012.4986983881	9787.59873119076	16144.5370559009	8338.81866989246	3600.24991766954	30816.9981310657
Clostridium cellulosi et rel.	57250.3652728933	148246.271244821	172315.24664525	41261.6033166404	76463.1354596359	2649.74723786423	36153.476367323	12544.4146689858	13538.2059197509	47628.8555644995	101138.604060578	32885.1672023626	7131.05582110511	3450.44378490205	14057.647147364	3464.08320940084	147481.531248474	57801.8928965201	5871.88968527797	92620.1996981697
