	Sample-1	Sample-2	Sample-3	Sample-4	Sample-5	Sample-6	Sample-7	Sample-8	Sample-9	Sample-10	Sample-11	Sample-12	Sample-13	Sample-14	Sample-15	Sample-16	Sample-17	Sample-18	Sample-19	Sample-20
Catenibacterium mitsuokai et rel.	2.32754531396249	2.30377118938222	2.77591215866727	2.38991528578226	2.40129151615348	3.17552323285966	3.00705819229523	2.31627534306631	2.40649097395376	2.58548486649392	3.57919340094191	2.72779596384806	2.50154696250967	2.25922356480032	2.33896193206235	2.71418758993474	2.56476741942804	2.46505743667064	2.27078909569677	2.46423858474321
Clostridia	3.72433728471989	4.74795595500544	3.95915514027467	3.6574656991902	3.64676727106375	3.80063342818374	3.80647664742033	5.10581637989772	3.64409270141485	3.76574492275543	3.93038158709664	3.51537210073905	3.66505598539804	3.74234817325188	4.7782417095578	3.99067615597993	4.20802559615093	3.92110453007588	3.55633264912772	4.48879033202654
Clostridium cellulosi et rel.	4.75777826193762	5.17098377860855	5.23632370600839	4.61554609949853	4.88345210279756	3.42320444811178	4.55815006358232	4.09845040164424	4.13156111554728	4.67787014632381	5.00491695510064	4.5170000543412	3.85315383606964	3.53787495621507	4.14791263815005	3.53958831549011	5.16873763808319	4.76194206093009	3.76877788792895	4.96670571304008
Clostridium colinum et rel.	4.14341434883923	3.4227378825928	4.31608970535886	3.87709600398575	4.08682923482537	3.40382128654933	4.10654852605884	3.28357499292135	4.54739916563361	4.37571329120776	4.59129366729439	4.17651878602983	3.5290663776348	3.30606267190149	3.10310868280204	3.09994316581895	4.14431723348333	4.27095615255362	4.45833020177297	4.3998493707844
Clostridium difficile et rel.	3.61941630198291	3.31304951569475	4.70503061219072	3.57259723211169	3.49221443311536	3.72944980035227	4.34156363974644	5.00839950455307	3.41482317430038	4.21380357052549	4.26848928566913	3.50479716318924	3.84557652819008	3.26098656579858	4.21410462303056	3.44400278956701	4.59948781582259	4.1468394557988	3.5538188012033	4.66746677689396
Clostridium felsineum et rel.	2.33605462133254	2.28622959638585	2.69499743402459	2.3658910686871	2.35418492745977	2.34504037403358	2.55458060055678	3.03367639409686	2.38097949061907	2.38479914635133	2.78095596593324	2.24377258420447	2.29808064696838	2.2685225731072	2.68445200064193	2.46130686769263	2.75118362666062	2.53713545881672	2.27988021156055	3.29111100067137
Clostridium leptum et rel.	4.42599830221816	4.47041432232377	4.75507726283769	4.43878530857666	4.27011269813693	3.22514361316389	4.66733551847079	4.23377600869039	4.33895095139531	5.24660324681088	4.43270737760331	4.07106784564948	3.95688469596783	3.27972425155463	4.02809296226755	3.36533251049346	4.65466572017616	3.9059824394419	4.09622122985045	4.48655489774223
Clostridium nexile et rel.	4.98862458183818	4.59753368996446	5.29735525458236	4.57840019047776	4.87073457809601	4.87046778501806	5.40295064029926	5.18906793356546	4.90985427580803	5.31250688306988	5.2239037610182	4.88430438351204	5.15204624607671	3.04777927908513	4.16371948374336	3.03060592971672	4.72163030566188	5.05079340053272	4.08141647793862	5.18067501229411
Clostridium orbiscindens et rel.	4.97172897927188	4.64480938378247	5.27016536739776	4.94931811028557	4.81203445811932	3.90183239437894	5.16280410859705	4.90951752649194	5.02416988324419	4.94527761869482	4.88067407178976	4.9959678421861	4.03697817997001	3.93202819286063	4.16927267113945	3.75995653216355	4.84105313854387	4.58092699241821	4.65435866810531	4.8484766497631
Clostridium ramosum et rel.	3.01275436150743	2.89830691637818	3.90227336222816	3.71280534591363	3.14536745914842	4.20433996980303	4.00464217354516	3.52445342844775	3.00998553956547	3.59265451919864	3.03845075711932	3.43941041242967	3.37275407683348	2.81435494888728	4.27148045313835	2.96341146005147	3.15697429313045	3.36917942140892	4.07584088971925	3.088096251263
